2025-06-20 11:22:50.126 INFO  Version:21 - HV000001: Hibernate Validator 6.2.5.Final
2025-06-20 11:22:50.284 INFO  SpringApplication:55 - Starting application using Java 1.8.0_161 on DESKTOP-BRVMCFO with PID 19308 (started by hp in D:\tasworkspace\ProFAN\ProFAN-Maven-s0.0.0.7)
2025-06-20 11:22:50.381 INFO  SpringApplication:631 - No active profile set, falling back to 1 default profile: "default"
2025-06-20 11:22:51.662 INFO  RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-20 11:22:51.663 INFO  RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-20 11:22:51.933 INFO  RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 236 ms. Found 13 JPA repository interfaces.
2025-06-20 11:22:52.538 INFO  RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-20 11:22:52.540 INFO  RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2025-06-20 11:22:53.217 INFO  RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 676 ms. Found 0 JDBC repository interfaces.
2025-06-20 11:22:54.987 INFO  TomcatWebServer:108 - Tomcat initialized with port(s): 8085 (http)
2025-06-20 11:22:55.024 INFO  Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8085"]
2025-06-20 11:22:55.025 INFO  StandardService:173 - Starting service [Tomcat]
2025-06-20 11:22:55.026 INFO  StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.75]
2025-06-20 11:22:55.394 INFO  [/]:173 - Initializing Spring embedded WebApplicationContext
2025-06-20 11:22:55.395 INFO  ServletWebServerApplicationContext:292 - Root WebApplicationContext: initialization completed in 4879 ms
2025-06-20 11:22:55.713 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-20 11:22:55.844 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-06-20 11:22:56.240 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-06-20 11:22:56.582 INFO  HikariDataSource:110 - HikariPool-1 - Starting...
